문헌번호,확인항목,상세,관련값
KR 10-2621184 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 9개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=447
KR 10-2621385 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621385 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=244
KR 10-2621177 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621177 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=351
KR 10-2620690 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620690 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 9개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=634
KR 10-2619835 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2619835 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=478
KR 10-2622321 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622321 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=207
KR 10-2620621 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620621 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=372
KR 10-2622284 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622284 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=253
KR 10-2620468 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620468 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=274
KR 10-2621614 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621614 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=563
KR 10-2619815 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2619815 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=127
KR 10-2620565 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620565 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=167
KR 10-2621846 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621846 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=139
KR 10-2620553 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620553 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=206
KR 10-2622141 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
